Bandwidth (Mbps),PacketCount,Latency (ms),SourceIP,DestinationIP,Protocol,TrafficCongestion,CPULoad,MemoryLoad,Anomaly
71.9427647557211,359,3.0446198755217226,142.210.43.104,50.85.147.248,HTTP,57.84767021449791,66.33498812516753,89.00880901729747,0
76.93104578654365,413,11.297423096528526,155.84.176.209,183.63.86.80,DNS,91.87936280013082,82.04427749707999,96.04161294898472,0
69.05784831946448,357,9.466031194349757,173.52.224.131,48.78.7.240,DNS,61.17441400976136,65.84920536757322,80.44257058022906,0
78.6161972262998,486,5.081378346415808,167.163.202.161,216.5.5.100,DNS,60.7186938771138,66.16320520621375,76.57837916760997,0
94.304699032077,347,15.249740511461223,159.174.27.197,238.16.161.199,HTTP,82.625173579702,80.60700814991453,87.33386361515646,0
76.67272414293569,332,9.676287479069373,43.31.72.141,73.176.189.155,DNS,64.8606562059671,79.14762221931124,86.91172616500457,0
80.08480763565696,378,17.639361224751724,242.131.213.220,42.73.119.217,DNS,61.361014910127764,72.47761258374193,99.31811921274915,0
76.72882717443257,430,6.24809180777132,229.172.202.73,243.68.204.249,DNS,101.40955152132065,66.19548688503279,84.72458336017571,0
100.89762976554158,349,17.554627441454926,8.90.84.5,9.247.163.119,DNS,40.55097678650513,82.31646857146498,101.8284164107071,0
77.2926797019923,268,14.15920924452124,73.151.90.233,89.13.74.107,DNS,65.83232296122243,77.4670185145005,88.85284476406576,0
77.87301270367507,418,15.941574771909329,23.127.188.194,103.44.41.92,HTTP,62.24593392776328,102.73617244542285,83.41728082694203,0
75.68407979783494,357,11.510595401849818,182.138.0.230,65.92.124.22,DNS,72.2145223826014,63.4755015936734,96.04992603695096,0
68.82389723353145,464,6.369983491232198,196.212.116.253,189.208.197.180,HTTP,55.52330275160046,97.3156426186992,89.43119495357837,0
183.13389043468186,360,7.153694588722357,51.129.178.75,195.168.201.222,UDP,64.87102780093622,101.69191234684908,87.5547369104224,1
72.42289902955282,400,8.507897062553145,215.209.63.102,144.96.44.7,UDP,66.2090355142803,45.20470054247537,94.8247676621451,0
82.68004058920711,407,12.79956973526321,93.224.199.212,191.128.253.120,UDP,67.09866823899675,69.33691133226546,81.23897826744253,0
